PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",,Drawdown type,Drawdown,DLL,Buffer,Payout requirements,,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,Consistency,Min trading days,,,,
,,,,,,,,,,,,,,,,,,,,,,$5 001 - $9 000,12 minis / 120 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$9 001 - $15 000,20 minis / 200 micros,,,,,,,,,,
16,Funded Futures Network,US,2022,Funded Futures Network MAX Express,25k,3 minis / 30 micros,Subscription,$165,"$82,50",MTDESK,No,Yes,EOT,$1 500,-,$2 000,50%,2,FREE,No,No,$0 - $800,1 mini / 10 micros,Trailing,$1 500,-,$1 600,25%,4,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$801 - $1 000,2 minis / 20 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$1 001 - $2 000,3 minis / 30 micros,,,,,,,,,,
17,Funded Futures Network,US,2022,Funded Futures Network MAX Express,50k,4 minis / 40 micros,Subscription,$185,"$92,50",MTDESK,No,Yes,EOT,$2 000,-,$3 000,50%,2,FREE,No,No,$0 - $1 000,2 minis / 20 micros,Trailing,$2 000,-,$2 100,25%,4,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$1 001 - $2 000,3 minis / 30 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$2 001 - $3 000,4 minis / 40 micros,,,,,,,,,,
18,Funded Futures Network,US,2022,Funded Futures Network MAX Express,100k,10 minis / 100 micros,Subscription,$340,"$170,00",MTDESK,No,Yes,EOT,$3 600,-,$6 000,50%,2,FREE,No,No,$0 - $3 000,4 minis / 40 micros,Trailing,$3 600,-,$3 700,25%,4,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$3 001 - $4 500,6 minis / 60 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$4 501 - $6 000,10 minis / 100 micros,,,,,,,,,,
19,Funded Futures Network,US,2022,Funded Futures Network MAX Express,150k,15 minis / 150 micros,Subscription,$395,"$197,50",MTDESK,No,Yes,EOT,$5 000,-,$9 000,50%,2,FREE,No,No,$0 - $3 000,4 minis / 40 micros,Trailing,$5 000,-,$5 100,25%,4,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$3 001 - $4 500,8 minis / 80 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$4 501 - $9 000,15 minis / 150 micros,,,,,,,,,,
20,Funded Futures Network,US,2022,Funded Futures Network MAX Express,250k,20 minis / 200 micros,Subscription,$720,"$360,00",MTDESK,No,Yes,EOT,$6 000,-,$15 000,50%,2,FREE,No,No,$0 - $5 000,6 minis / 60 micros,Trailing,$6 000,-,$6 100,25%,4,$500,$10 000,80%,
,,,,,,,,,,,,,,,,,,,,,,$5 001 - $9 000,12 minis / 120 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,$9 001 - $15 000,20 minis / 200 micros,,,,,,,,,,
